FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
88,3051,3052.000000000000000,55.171424999999999,-120.162255000000002,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
89,3746,3747.000000000000000,55.173603999999997,-120.230480999999997,0,Montney Basin,26607264166.200000762939453,4,3555.4099121
90,1839,1840.000000000000000,55.177723000000000,-120.530816999999999,0,Montney Basin,26607264166.200000762939453,4,3510.9699707
91,2468,2469.000000000000000,55.178224000000000,-120.200284999999994,0,Montney Basin,26607264166.200000762939453,4,3569.8898926
92,1877,1878.000000000000000,55.178618000000000,-120.341325999999995,0,Montney Basin,26607264166.200000762939453,4,3548.9099121
93,1827,1828.000000000000000,55.178682000000002,-120.253313000000006,0,Montney Basin,26607264166.200000762939453,4,3546.9499512
94,2453,2454.000000000000000,55.178933999999998,-120.295573000000005,0,Montney Basin,26607264166.200000762939453,4,3541.4099121
95,3124,3125.000000000000000,55.179233000000004,-120.188041999999996,0,Montney Basin,26607264166.200000762939453,4,3569.8898926
96,5386,5387.000000000000000,55.179423999999997,-120.172061999999997,0,Montney Basin,26607264166.200000762939453,4,3614.9199219
97,3116,3117.000000000000000,55.180005000000001,-120.047595000000001,0,Montney Basin,26607264166.200000762939453,4,3490.6398926
98,3777,3778.000000000000000,55.180743999999997,-120.155995000000004,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
99,3783,3784.000000000000000,55.182025000000003,-120.166236999999995,0,Montney Basin,26607264166.200000762939453,4,3614.9199219
100,3794,3795.000000000000000,55.182245000000002,-120.191969000000000,0,Montney Basin,26607264166.200000762939453,4,3569.8898926
101,5547,5548.000000000000000,55.182626999999997,-120.151893999999999,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
102,1904,1905.000000000000000,55.183320999999999,-120.157218999999998,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
103,1898,1899.000000000000000,55.183425999999997,-120.129492999999997,0,Montney Basin,26607264166.200000762939453,4,3592.9099121
104,2503,2504.000000000000000,55.184401999999999,-120.525468000000004,0,Montney Basin,26607264166.200000762939453,4,3520.4099121
105,2502,2503.000000000000000,55.184403000000003,-120.525476999999995,0,Montney Basin,26607264166.200000762939453,4,3520.4099121
106,2553,2554.000000000000000,55.184618999999998,-120.110183000000006,0,Montney Basin,26607264166.200000762939453,4,3521.1799316
107,2504,2505.000000000000000,55.184866000000000,-120.149631999999997,0,Montney Basin,26607264166.200000762939453,4,3608.9099121
108,2514,2515.000000000000000,55.185518000000002,-120.162678999999997,0,Montney Basin,26607264166.200000762939453,4,3608.9099121
109,1913,1914.000000000000000,55.187229000000002,-120.044383999999994,0,Montney Basin,26607264166.200000762939453,4,3452.8500977
