FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
12597,31183,0,-122.734617989000000,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.188283363998000,31.196649235999999,CTB,292.7990112
12598,31184,0,-122.712160105999999,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.169073013956000,31.196649235999999,CTB,287.1409912
12599,31185,0,-122.689702224000001,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.149862663913000,31.196649235999999,CTB,284.2380066
12600,31186,0,-122.667244342000004,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.130652313870000,31.196649235999999,CTB,283.1809998
12601,31187,0,-122.644786460000006,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.111441963828000,31.196649235999999,CTB,283.5079956
12602,31188,0,-122.622328577999994,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.091883240823100,29.003230000799999,CTB,283.8630066
12603,31189,0,-122.599870695999996,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.072241748376800,29.003230000799999,CTB,282.5960083
12604,31190,0,-122.577412813999999,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.052600255930400,29.003230000700000,CTB,278.7500000
12605,31191,0,-122.554954932000001,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.032958763484000,29.003230000799999,CTB,276.4150085
12606,31192,0,-122.532497050000003,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.013317271037700,29.003230000700000,CTB,271.9830017
12607,31193,0,-122.510039167000002,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.006324221408750,-150.996769999000009,CTB,267.9599915
12608,31194,0,-122.487581285000005,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.025965713855100,-150.996769999000009,CTB,266.6390076
