FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID
97,1606,0,-120.331624603999998,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
98,1607,0,-120.309166720999997,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
99,1608,0,-120.286708838999999,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
100,1609,0,-120.264250957000002,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
101,1610,0,-120.241793075000004,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
102,1611,0,-120.219335193000006,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
103,1612,0,-120.196877310999994,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
104,1613,0,-120.174419428999997,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
105,1614,0,-120.151961546999999,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
106,1615,0,-120.129503665000001,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
107,1616,0,-120.107045782000000,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
108,1617,0,-120.084587900000002,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
109,1618,0,-120.062130018000005,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
110,1619,0,-120.039672135999993,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
111,1620,0,-120.017214253999995,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4
112,1763,0,-120.488829777999996,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
113,1764,0,-120.466371895999998,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
114,1765,0,-120.443914014000001,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
115,1766,0,-120.421456132000003,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
116,1767,0,-120.398998250000005,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
117,1768,0,-120.376540367999993,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
118,1769,0,-120.354082485999996,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
119,1770,0,-120.331624603999998,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
120,1771,0,-120.309166720999997,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
121,1772,0,-120.286708838999999,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
122,1773,0,-120.264250957000002,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
123,1774,0,-120.241793075000004,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
124,1775,0,-120.219335193000006,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
125,1776,0,-120.196877310999994,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
126,1777,0,-120.174419428999997,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
127,1778,0,-120.151961546999999,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
128,1779,0,-120.129503665000001,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
129,1780,0,-120.107045782000000,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
130,1781,0,-120.084587900000002,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
131,1782,0,-120.062130018000005,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
132,1783,0,-120.039672135999993,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
133,1784,0,-120.017214253999995,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4
134,1925,0,-120.533745542000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
135,1926,0,-120.511287659999994,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
136,1927,0,-120.488829777999996,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
137,1928,0,-120.466371895999998,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
138,1929,0,-120.443914014000001,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
139,1930,0,-120.421456132000003,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
140,1931,0,-120.398998250000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
141,1932,0,-120.376540367999993,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
142,1933,0,-120.354082485999996,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
143,1934,0,-120.331624603999998,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
144,1935,0,-120.309166720999997,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
145,1936,0,-120.286708838999999,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
146,1937,0,-120.264250957000002,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
147,1938,0,-120.241793075000004,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
148,1939,0,-120.219335193000006,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
149,1940,0,-120.196877310999994,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
150,1941,0,-120.174419428999997,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
151,1942,0,-120.151961546999999,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
152,1943,0,-120.129503665000001,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
153,1944,0,-120.107045782000000,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
154,1945,0,-120.084587900000002,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
155,1946,0,-120.062130018000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
156,1947,0,-120.039672135999993,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
157,1948,0,-120.017214253999995,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4
158,2088,0,-120.556203425000007,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
159,2089,0,-120.533745542000005,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
160,2090,0,-120.511287659999994,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
161,2091,0,-120.488829777999996,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
162,2092,0,-120.466371895999998,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
163,2093,0,-120.443914014000001,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
164,2094,0,-120.421456132000003,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
165,2095,0,-120.398998250000005,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
166,2096,0,-120.376540367999993,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
167,2097,0,-120.354082485999996,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
168,2098,0,-120.331624603999998,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
169,2099,0,-120.309166720999997,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
170,2100,0,-120.286708838999999,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
