FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
60,1281,0,-120.264250957000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.142452208354000,-88.168703081700002,Faults - BCOGC Pool boundary faults,1.3310200
61,1282,0,-120.241793075000004,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.143500933329000,-97.167862280099996,Faults - BCOGC Pool boundary faults,1.3437200
62,1283,0,-120.219335193000006,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.147990259830000,-105.827617736999997,Faults - BCOGC Pool boundary faults,1.3580500
63,1284,0,-120.196877310999994,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.155622713895000,-113.808260093000001,Faults - BCOGC Pool boundary faults,1.3738700
64,1285,0,-120.174419428999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.165526043540000,-115.560885295000006,Faults - BCOGC Pool boundary faults,1.3907100
65,1286,0,-120.151961546999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.176053106486000,-117.610900544000003,Faults - BCOGC Pool boundary faults,1.4131600
66,1287,0,-120.129503665000001,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.187520470979000,-123.702784296999994,Faults - BCOGC Pool boundary faults,1.4263800
67,1288,0,-120.107045782000000,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.200852858346000,-129.040150683999997,Faults - BCOGC Pool boundary faults,1.4349500
68,1289,0,-120.084587900000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.215704722510000,-133.678486789000004,Faults - BCOGC Pool boundary faults,1.4362900
69,1290,0,-120.062130018000005,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.231784160065000,-137.696747216999995,Faults - BCOGC Pool boundary faults,1.4318500
70,1291,0,-120.039672135999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.248853328967000,-141.179042672000008,Faults - BCOGC Pool boundary faults,1.4259599
71,1292,0,-120.017214253999995,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.266722280203000,-144.204733436999987,Faults - BCOGC Pool boundary faults,1.4212500
72,1438,0,-120.421456132000003,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.224203876001000,-43.823610428199999,Faults - BCOGC Pool boundary faults,1.1713001
73,1439,0,-120.398998250000005,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.208581575542000,-48.099250366800000,Faults - BCOGC Pool boundary faults,1.2014400
74,1440,0,-120.376540367999993,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.194303582659000,-53.034367018300003,Faults - BCOGC Pool boundary faults,1.2294199
75,1441,0,-120.354082485999996,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.181687103972000,-58.702247335199999,Faults - BCOGC Pool boundary faults,1.2573000
76,1442,0,-120.331624603999998,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.171100082416000,-65.141825584100005,Faults - BCOGC Pool boundary faults,1.2692300
77,1443,0,-120.309166720999997,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.162938594546000,-72.326076068299997,Faults - BCOGC Pool boundary faults,1.2913400
78,1444,0,-120.286708838999999,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.157579966746000,-80.130409958000001,Faults - BCOGC Pool boundary faults,1.3021600
79,1445,0,-120.264250957000002,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.155314581362000,-88.320407309100005,Faults - BCOGC Pool boundary faults,1.3300000
80,1446,0,-120.241793075000004,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.156277014896000,-96.579163213100003,Faults - BCOGC Pool boundary faults,1.3434100
81,1447,0,-120.219335193000006,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.160409178426000,-104.573876505000001,Faults - BCOGC Pool boundary faults,1.3587700
82,1448,0,-120.196877310999994,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.167476615080000,-112.030811999999997,Faults - BCOGC Pool boundary faults,1.3760600
83,1449,0,-120.174419428999997,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.177128319620000,-118.780439622000003,Faults - BCOGC Pool boundary faults,1.3948600
84,1450,0,-120.151961546999999,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.187275665666000,-119.345938309000005,Faults - BCOGC Pool boundary faults,1.4193100
85,1451,0,-120.129503665000001,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.198354608513000,-121.639772828000005,Faults - BCOGC Pool boundary faults,1.4349000
86,1452,0,-120.107045782000000,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.211003541174000,-126.838686112000005,Faults - BCOGC Pool boundary faults,1.4454100
87,1453,0,-120.084587900000002,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.225186924565000,-131.416707183999989,Faults - BCOGC Pool boundary faults,1.4475600
88,1454,0,-120.062130018000005,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.240633581487000,-135.430031769999999,Faults - BCOGC Pool boundary faults,1.4431700
89,1455,0,-120.039672135999993,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.257115933035000,-138.944305702999998,Faults - BCOGC Pool boundary faults,1.4342800
90,1456,0,-120.017214253999995,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,151,0.274447442033000,-142.025149058000011,Faults - BCOGC Pool boundary faults,1.4280200
91,1600,0,-120.466371895999998,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,155,0.241813727042000,-115.939749264000000,Faults - BCOGC Pool boundary faults,1.1314700
92,1601,0,-120.443914014000001,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,81,0.242849158318000,-74.539764733799998,Faults - BCOGC Pool boundary faults,1.1421400
93,1602,0,-120.421456132000003,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.233296307819000,-46.103614985299998,Faults - BCOGC Pool boundary faults,1.1576400
94,1603,0,-120.398998250000005,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.218325589163000,-50.354471457300001,Faults - BCOGC Pool boundary faults,1.1986200
95,1604,0,-120.376540367999993,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.204728286912000,-55.199827991200003,Faults - BCOGC Pool boundary faults,1.2232100
96,1605,0,-120.354082485999996,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.192795209945000,-60.688671438000000,Faults - BCOGC Pool boundary faults,1.2411500
97,1606,0,-120.331624603999998,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.182852474499000,-66.836575357699999,Faults - BCOGC Pool boundary faults,1.2667000
98,1607,0,-120.309166720999997,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.175239193163000,-73.603142266000006,Faults - BCOGC Pool boundary faults,1.2890600
99,1608,0,-120.286708838999999,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.170268127221000,-80.872425618199998,Faults - BCOGC Pool boundary faults,1.3001200
100,1609,0,-120.264250957000002,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.168173744715000,-88.448867632000002,Faults - BCOGC Pool boundary faults,1.3285600
101,1610,0,-120.241793075000004,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.169062990074000,-96.079637479799999,Faults - BCOGC Pool boundary faults,1.3426000
102,1611,0,-120.219335193000006,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.172889831254000,-103.501066567999999,Faults - BCOGC Pool boundary faults,1.3589100
103,1612,0,-120.196877310999994,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.179466447635000,-110.490070415999995,Faults - BCOGC Pool boundary faults,1.3775700
104,1613,0,-120.174419428999997,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.188505254142000,-116.897581298999995,Faults - BCOGC Pool boundary faults,1.3982600
105,1614,0,-120.151961546999999,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.198589246135000,-117.526684654999997,Faults - BCOGC Pool boundary faults,1.4247200
106,1615,0,-120.129503665000001,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.209415528273000,-119.793128440000004,Faults - BCOGC Pool boundary faults,1.4426399
107,1616,0,-120.107045782000000,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.221433527614000,-124.842560759999998,Faults - BCOGC Pool boundary faults,1.4550400
108,1617,0,-120.084587900000002,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.234988220468000,-129.341284785999989,Faults - BCOGC Pool boundary faults,1.4578900
