X,Y,Montney-TVD
55.99904598,-120.6390537,2045.8
56.00198129,-120.6744604,2083.5
56.00200487,-120.6746146,1888
56.00205116,-120.6749246,1899.8
55.99854458,-120.6398573,2064.1
55.99847834,-120.6399656,2046.8
56.01785856,-120.6984354,2058.8
56.01794753,-120.6984349,2059.6
56.01803739,-120.6984343,2058.1
56.02284936,-120.6980966,2028.3
56.02293683,-120.6980641,2026.6
56.02271921,-120.6969987,2020
56.0230252,-120.6980316,2027.2
56.02311264,-120.6979975,2027.9
56.02320101,-120.697965,2024.6
56.01812729,-120.6984354,2056.8
56.02328849,-120.6979325,2026.3
56.01821716,-120.6984349,2057.8
56.02280758,-120.6969661,2018.1
56.02289505,-120.6969336,2017.2
56.02263177,-120.6970327,2027.8
56.02298339,-120.6968995,2016.3
56.02307086,-120.696867,2016.1
56.00202755,-120.6747688,2009.4
56.00183105,-120.6734525,2059.8
56.01704993,-120.6995569,2063.6
56.00192364,-120.6740725,2063
56.01713983,-120.699558,2065.7
56.01704967,-120.6984353,2068.1
56.01713954,-120.6984348,2070.2
56.0172294,-120.6984343,1989.2
56.0173193,-120.6984353,2067
56.01794782,-120.6995581,2064.7
56.01722969,-120.6995575,2067.2
56.01731956,-120.6995569,2066
56.02605679,-120.8040352,2068.1
56.00997753,-120.750501,2120.1
56.02058448,-120.8134477,2099
56.02042405,-120.8136252,2098.9
56.00973497,-120.75026,2123.6
56.02614285,-120.8038714,2067.6
56.02622891,-120.8037077,2067.2
56.02631497,-120.8035439,2066.3
56.01025463,-120.7499747,2117.1
56.01016257,-120.7501501,2118.5
56.0100705,-120.7503255,2118.8
56.03387147,-120.821578,2026.3
56.03381859,-120.8216372,2027.8
56.01794022,-120.7387929,2101.6
56.01799749,-120.7387302,2103.7
56.03376484,-120.821698,2030.5
56.03397812,-120.8214596,2026.8
56.03392524,-120.8215188,2026.9
56.03475575,-120.7361399,2033.6
56.03484419,-120.7361106,2038
56.03541861,-120.7359212,2034.6
56.03493263,-120.7360813,2034
56.03502107,-120.7360521,2034
56.0360073,-120.7359702,2031
56.03519798,-120.7359952,2028.6
56.03528552,-120.735966,2027.4
56.03550705,-120.735892,2032.5
56.03423836,-120.665672,1930.6
56.03437317,-120.6656719,1931.1
56.03450708,-120.6656718,1928
56.0346419,-120.6656717,1926.6
56.03477671,-120.6656716,1925.2
56.03468682,-120.6656706,1925
56.03504634,-120.6656714,1921.7
56.03518115,-120.6656713,1922.3
56.05369519,-120.6920059,1915.1
56.05392643,-120.6926923,1919
56.05528392,-120.696511,1934
56.05725893,-120.7915883,1828
56.05238731,-120.7943754,1838.3
56.06800478,-120.7298156,1896.1
56.067915,-120.7298209,1896.2
56.06782522,-120.7298262,1898
56.06773544,-120.7298315,1898.6
56.05857693,-120.6988686,1952.1
56.0679683,-120.7290546,1894.6
56.06763623,-120.729275,1898
56.06753964,-120.7289593,1898.6
56.06798853,-120.7289329,1891
56.06789873,-120.7289366,1895.8
56.06780898,-120.7289435,1894.5
55.98645866,-120.8501911,2138.3
55.98662179,-120.8479519,2137
55.99969619,-120.9148136,2186.9
56.00245759,-120.9191012,2103.2
56.00236069,-120.91927,2141.2
56.02003889,-120.814053,2102.8
56.03576913,-120.869606,1904
56.02037028,-120.8136844,2098.8
56.02020986,-120.813862,2100.8
56.03864126,-120.9000964,1922.2
56.038457,-120.899726,1916
56.0358117,-120.8698332,1903
