FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC
1211,1267,1268.000000000000000,55.735967000000002,-120.246267000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.809803671178000,-123.470980783000002,CTB
1212,1636,1637.000000000000000,55.735976000000001,-120.201549999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.834473255572000,-123.470980783000002,CTB
1213,5015,5016.000000000000000,55.735990999999999,-120.591623999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.619338926360000,-123.474326880999996,CTB
1214,1537,1538.000000000000000,55.736092999999997,-120.231645000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.817973022004000,-123.470980783000002,CTB
1215,1649,1650.000000000000000,55.736438999999997,-120.592668000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.619136785900000,-123.474326880999996,CTB
1216,1444,1445.000000000000000,55.736535000000003,-120.602422000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.613836914421000,-123.474326880999996,CTB
1217,1643,1644.000000000000000,55.736535000000003,-120.540312999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.648093958301000,-123.474326880999996,CTB
1218,5942,5943.000000000000000,55.736545000000000,-120.605479000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.612159126798000,-123.474326880999996,CTB
1219,4946,4947.000000000000000,55.736559999999997,-120.602373000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.613884794348000,-123.474326880999996,CTB
1220,1629,1630.000000000000000,55.736891999999997,-120.644204999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.590293830619000,-128.241186411000001,CTB
1221,1630,1631.000000000000000,55.736891999999997,-120.644204999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.590293830619000,-128.241186411000001,CTB
1222,1631,1632.000000000000000,55.736891999999997,-120.644204999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.590293830619000,-128.241186411000001,CTB
1223,5001,5002.000000000000000,55.736899999999999,-120.644705000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.589990627346000,-128.241186411000001,CTB
1224,6293,6294.000000000000000,55.737054000000001,-120.604731999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.612995718293000,-123.474326880999996,CTB
1225,5972,5973.000000000000000,55.737659000000001,-120.591965999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.620541625646000,-123.474326880999996,CTB
1226,4493,4494.000000000000000,55.737723000000003,-120.094611999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.894908407082000,-123.470980783000002,CTB
1227,4449,4450.000000000000000,55.737737000000003,-120.626607000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.601499984373000,-123.474326880999996,CTB
1228,4450,4451.000000000000000,55.738208000000000,-120.576272000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.629655798838000,-123.474326880999996,CTB
1229,268,269.000000000000000,55.738267999999998,-120.808006000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.489785808001000,-130.814001826000009,CTB
