FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
2073,531,532.000000000000000,55.916508999999998,-120.374403999999998,0,Montney Basin,26607264166.200000762939453,4,9,0.092773478989900,77.690257315099998,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2074,4628,4629.000000000000000,55.916649999999997,-120.591086000000004,0,Montney Basin,26607264166.200000762939453,4,3,0.022141892900600,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.4011993
2075,769,770.000000000000000,55.916659000000003,-120.323868000000004,0,Montney Basin,26607264166.200000762939453,4,9,0.079163212432700,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
2076,4657,4658.000000000000000,55.916679000000002,-120.612655000000004,0,Montney Basin,26607264166.200000762939453,4,3,0.035956906550300,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.5042000
2077,784,785.000000000000000,55.916891000000000,-120.847904999999997,0,Montney Basin,26607264166.200000762939453,4,4,0.013689716325600,-168.781870349000002,"Structural Low - Davies 1997, 2018",42.4051018
2078,530,531.000000000000000,55.916901000000003,-120.214591999999996,0,Montney Basin,26607264166.200000762939453,4,10,0.022204671681500,24.630953978200001,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",38.1353989
2079,5771,5772.000000000000000,55.916944000000001,-120.450777000000002,0,Montney Basin,26607264166.200000762939453,4,3,0.078270372328600,160.374118941000006,"Structural Low - Davies 1997, 2018",40.2925987
2080,640,641.000000000000000,55.916997000000002,-121.072444000000004,0,Montney Basin,26607264166.200000762939453,4,11,0.035341687085500,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2081,4663,4664.000000000000000,55.917020000000001,-120.375668000000005,0,Montney Basin,26607264166.200000762939453,4,9,0.092512238526600,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2082,4659,4660.000000000000000,55.917161999999998,-120.589752000000004,0,Montney Basin,26607264166.200000762939453,4,3,0.021682474591600,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.4011993
2083,4554,4555.000000000000000,55.917372000000000,-120.374393999999995,0,Montney Basin,26607264166.200000762939453,4,9,0.091925223818500,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2084,5819,5820.000000000000000,55.917391000000002,-120.590135000000004,0,Montney Basin,26607264166.200000762939453,4,3,0.022103450383800,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.4011993
2085,698,699.000000000000000,55.917496000000000,-120.617971999999995,0,Montney Basin,26607264166.200000762939453,4,3,0.039885227746100,-56.442895677499997,"Structural Low - Davies 1997, 2018",41.5923004
2086,4606,4607.000000000000000,55.917520000000003,-121.071528999999998,0,Montney Basin,26607264166.200000762939453,4,11,0.036363478682900,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2087,789,790.000000000000000,55.917633000000002,-120.981117999999995,0,Montney Basin,26607264166.200000762939453,4,11,0.043289514670400,34.759687561500002,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",44.8749008
2088,4660,4661.000000000000000,55.917650999999999,-120.717478999999997,0,Montney Basin,26607264166.200000762939453,4,3,0.095018661228900,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.8121986
2089,778,779.000000000000000,55.917673000000001,-120.717433999999997,0,Montney Basin,26607264166.200000762939453,4,3,0.095012120054400,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.8121986
2090,783,784.000000000000000,55.917740000000002,-120.689234999999996,0,Montney Basin,26607264166.200000762939453,4,3,0.079480454035200,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2091,4664,4665.000000000000000,55.917945000000003,-120.689215000000004,0,Montney Basin,26607264166.200000762939453,4,3,0.079640232418700,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2092,6250,6251.000000000000000,55.918061999999999,-120.589810999999997,0,Montney Basin,26607264166.200000762939453,4,3,0.022412138101200,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.4011993
2093,4629,4630.000000000000000,55.918106999999999,-120.569924999999998,0,Montney Basin,26607264166.200000762939453,4,3,0.009730244063030,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2094,700,701.000000000000000,55.918241000000002,-121.066599999999994,0,Montney Basin,26607264166.200000762939453,4,11,0.040413198692000,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2095,776,777.000000000000000,55.918261000000001,-120.584487999999993,0,Montney Basin,26607264166.200000762939453,4,3,0.019161236346200,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.4011993
2096,5796,5797.000000000000000,55.918329999999997,-121.070629999999994,0,Montney Basin,26607264166.200000762939453,4,11,0.037572884454100,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2097,5818,5819.000000000000000,55.918334000000002,-120.612849999999995,0,Montney Basin,26607264166.200000762939453,4,3,0.037353994336300,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.5042000
2098,5816,5817.000000000000000,55.918475999999998,-120.323876999999996,0,Montney Basin,26607264166.200000762939453,4,9,0.077440154385600,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
2099,5803,5804.000000000000000,55.918604999999999,-120.570096000000007,0,Montney Basin,26607264166.200000762939453,4,3,0.010222463944000,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2100,4551,4552.000000000000000,55.918622999999997,-120.450812999999997,0,Montney Basin,26607264166.200000762939453,4,3,0.077688378989100,161.531618925999993,"Structural Low - Davies 1997, 2018",40.2925987
2101,515,516.000000000000000,55.918720999999998,-120.814531000000002,0,Montney Basin,26607264166.200000762939453,4,4,0.046782077743200,-168.781870349000002,"Structural Low - Davies 1997, 2018",42.0942001
2102,782,783.000000000000000,55.918965999999998,-120.375538000000006,0,Montney Basin,26607264166.200000762939453,4,9,0.090576857473800,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
